,Age,Industry,Job title,Annual Salary(USDA),Working In,City,Years of Experience,Present Field Experience,Education,Gender,Race
5455,25-34,Education (Higher Education),Postdoctoral associate,55000,United states,Ithaca,5-7 years,5-7 years,PhD,Woman,White
5456,25-34,Business or Consulting,Senior Program Manager,87250,United states,Washington DC,8 - 10 years,8 - 10 years,Master's degree,Woman,White
5457,25-34,Computing or Tech,Content Marketing Manager,100000,United states,New York City,8 - 10 years,5-7 years,College degree,Woman,White
5458,35-44,Entertainment,Archivist ,30376,United kingdom,London,11 - 20 years,11 - 20 years,High School,Non-binary,"White, Another option not listed here or prefer not to answer"
5459,45-54,Defense,Technical editor,82000,United states,Sierra Vista,8 - 10 years,5-7 years,Master's degree,Woman,White
5460,25-34,Hospitality & Events,Controller,110000,United states,Oklahoma City ,8 - 10 years,2 - 4 years,Master's degree,Woman,White
5461,35-44,Government and Public Administration,Digital Strategist,64575,United states,San Jose,5-7 years,5-7 years,College degree,Woman,White
5462,35-44,Computing or Tech,Senior Data Scientist,160000,United states,Chicago,8 - 10 years,8 - 10 years,Master's degree,Woman,White
5463,45-54,Education (Higher Education),Systems Coordinator,91000,United states,xxx,21 - 30 years,21 - 30 years,Master's degree,Woman,White
5464,25-34,Nonprofits,Lawyer,89000,United states,"Washington, DC",5-7 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Woman,White
5465,45-54,Computing or Tech,Senior Data Analyst ,125000,United states,Seattle,21 - 30 years,11 - 20 years,Master's degree,Woman,White
5466,35-44,Nonprofits,Director of Programs,63000,United states,Richmond,11 - 20 years,11 - 20 years,Master's degree,Woman,White
5467,25-34,Education (Primary/Secondary),Head of Department ,57860,United kingdom,Blackpool,8 - 10 years,8 - 10 years,Master's degree,Woman,White
5468,18-24,Social Work,Case manager,54000,United states,Minneapolis,2 - 4 years,2 - 4 years,College degree,Woman,White
5469,25-34,Business or Consulting,Business Analyst,52150,United kingdom,Waterloo,2 - 4 years,2 - 4 years,College degree,Non-binary,White
5470,45-54,Computing or Tech,Software Developer III,76000,United states,Canton,21 - 30 years,21 - 30 years,College degree,Woman,White
5471,55-64,Government and Public Administration,Law Clerk/Staff Attorney,72000,United states,Chicago,31 - 40 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,White
5472,35-44,Public library,Assistant Supervisor,46400,United states,Virginia Beach,11 - 20 years,11 - 20 years,College degree,Woman,White
5473,45-54,Nonprofits,Chief Development Officer,92000,United states,Santa Cruz,21 - 30 years,11 - 20 years,Master's degree,Woman,White
5474,65 or over,Health care,LPN,72000,United states,Indianapolis ,21 - 30 years,21 - 30 years,Some college,Woman,White
5475,35-44,Computing or Tech,Business Analyst,95000,United states,Washington,8 - 10 years,2 - 4 years,College degree,Woman,Another option not listed here or prefer not to answer
5476,35-44,Computing or Tech,Quality Assurance Engineer,98908,United states,Irvine,11 - 20 years,11 - 20 years,College degree,Woman,White
5477,35-44,Engineering or Manufacturing,Quality engineer,58000,United states,Port washington,11 - 20 years,2 - 4 years,College degree,Man,White
5478,45-54,"Accounting, Banking & Finance",Payroll Administrator ,56160,United states,Portland,21 - 30 years,11 - 20 years,College degree,Woman,White
5479,25-34,Computing or Tech,QA Engineer,75000,United states,Birmingham,5-7 years,5-7 years,Some college,Man,White
5480,35-44,Health care,Laboratory Manager/Medical Laboratory Scientist,83622,United states,Milwaukee,11 - 20 years,11 - 20 years,College degree,Woman,"Asian or Asian American, White"
5481,55-64,"Accounting, Banking & Finance",Chief Compliance Officer/Operations Manager,110000,United states,Coral Gables,31 - 40 years,11 - 20 years,Master's degree,Woman,White
5482,25-34,Engineering or Manufacturing,Senior Mechanical Engineer,130000,United states,Menlo Park,5-7 years,5-7 years,Master's degree,Woman,White
5483,45-54,Computing or Tech,Senior Technical Writer,59041,United kingdom,Toronto,21 - 30 years,21 - 30 years,College degree,Woman,White
5484,35-44,Education (Primary/Secondary),Education Support Professional ,28000,United states,Northborough ,11 - 20 years,11 - 20 years,College degree,Woman,White
5485,35-44,"Marketing, Advertising & PR",Marketing Manager,131500,United states,Seattle,11 - 20 years,11 - 20 years,College degree,Man,White
5486,35-44,Health care,Medical Coding Team Lead,83000,United states,Indianapolis,21 - 30 years,11 - 20 years,Master's degree,Woman,White
5487,25-34,Art & Design,Editor,65300,United states,Cambridge,8 - 10 years,8 - 10 years,College degree,Woman,White
5488,25-34,Business or Consulting,Consultant,170000,United states,New York City,5-7 years,5-7 years,Master's degree,Woman,White
5489,18-24,Agriculture or Forestry,Agricultural Supply line Negotiating consultant,1196650,United kingdom,London,2 - 4 years,5-7 years,Some college,Non-binary,White
5490,35-44,Computing or Tech,Application Specialist II,72592,United states,Cincinnati,21 - 30 years,21 - 30 years,College degree,Woman,White
5491,18-24,Education (Higher Education),Graduate Student,41050,United states,Bethesda,2 - 4 years,2 - 4 years,College degree,Woman,White
5492,35-44,"Marketing, Advertising & PR",Scrum Master,104000,United states,"I'm permanently remote in MA, company is global.",11 - 20 years,11 - 20 years,College degree,Woman,White
5493,35-44,Science/research non-academic,Scientific curator,76000,United states,Bangor,11 - 20 years,8 - 10 years,PhD,Woman,White
5494,35-44,Computing or Tech,Senior Technical Writer,64293,United kingdom,Victoria,11 - 20 years,11 - 20 years,College degree,Woman,White
5495,35-44,Computing or Tech,Senior research scientist,125000,United states,Dayton,11 - 20 years,11 - 20 years,PhD,Woman,White
5496,25-34,Engineering or Manufacturing,Office Manager,57000,United states,Pittsburgh,11 - 20 years,8 - 10 years,College degree,Woman,White
5497,35-44,Nonprofits,"Director, Foundations",110000,United states,Washington,11 - 20 years,11 - 20 years,Master's degree,Woman,White
5498,25-34,Media & Digital,"Assistant Manager, Subsidiary Rights",54000,United states,New York,11 - 20 years,5-7 years,College degree,Woman,White
5499,45-54,Education (Higher Education),"Senior Manager, Events and Special Projects",73000,United states,Providence,21 - 30 years,21 - 30 years,College degree,Woman,White
5500,35-44,Health care,"Manager, Finance",62580,United kingdom,Guelph,11 - 20 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,White
5501,25-34,Education (Primary/Secondary),Language Teacher,40000,United states,Houston,5-7 years,5-7 years,College degree,Woman,White
5502,35-44,Philanthropy,Grants Administrator,65000,United states,Remote--don't work in same state as my employer is located,8 - 10 years,5-7 years,PhD,Woman,White
5503,25-34,Law,Patent Agent,130000,United states,Portland,8 - 10 years,8 - 10 years,College degree,Woman,White
5504,35-44,Government and Public Administration,Scientist,71520,United kingdom,Toronto,8 - 10 years,8 - 10 years,PhD,Woman,White
5505,35-44,Education (Higher Education),Assistant Director of Health & Counseling Services,60000,United states,Rochester,21 - 30 years,11 - 20 years,Master's degree,Woman,White
5506,35-44,Health care,Patient Care Technician,31000,United states,Erie,11 - 20 years,5-7 years,College degree,Woman,White
5507,35-44,Engineering or Manufacturing,Senior Quality Manager,131600,United states,Middletown,11 - 20 years,11 - 20 years,Master's degree,Woman,White
5508,35-44,Government and Public Administration,Senior Analyst,118000,United states,Atlanta,8 - 10 years,2 - 4 years,PhD,Woman,"Asian or Asian American, White"
5509,35-44,Government and Public Administration,Admin,38596,Germany,Göttingen,1 year or less,1 year or less,Master's degree,Woman,White
5510,25-34,Government and Public Administration,Therapist,55000,United states,Nottoway County,5-7 years,5-7 years,Master's degree,Woman,White
5511,18-24,Education (Primary/Secondary),Communications Associate,45000,United states,NYC,2 - 4 years,2 - 4 years,College degree,Non-binary,"Asian or Asian American, Black or African American"
5512,35-44,Law Enforcement & Security,911 Dispatch,72612,United states,Prefer not to say,11 - 20 years,11 - 20 years,College degree,Woman,White
5513,25-34,Law,Associate Attorney ,185000,United states,Washington ,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
5514,25-34,Education (Higher Education),Librarian,66000,United states,--,8 - 10 years,8 - 10 years,Master's degree,Woman,White
5515,35-44,Engineering or Manufacturing,HR Generalist,82000,United states,Denver Metro,11 - 20 years,2 - 4 years,College degree,Woman,White
5516,35-44,Computing or Tech,Senior Finance Manager,127000,United states,Boston,11 - 20 years,8 - 10 years,Master's degree,Woman,White
5517,25-34,Retail,Brand Specialist,65000,United states,Phoenix,11 - 20 years,1 year or less,College degree,Woman,White
5518,25-34,"Marketing, Advertising & PR",Content Team Manager,37250,United kingdom,Peterborough,2 - 4 years,2 - 4 years,College degree,Woman,White
5519,35-44,Emergency Management,Disaster Preparedness Specialsi,76000,United states,Remote,11 - 20 years,8 - 10 years,Master's degree,Woman,White
5520,35-44,Science research,Researcher,49970,United kingdom,Inverness,5-7 years,5-7 years,PhD,Woman,White
5521,45-54,Education (Primary/Secondary),Part time school teacher/Part time Senior Education Officer,61805,United kingdom,Ardrossan,21 - 30 years,21 - 30 years,Master's degree,Woman,White
5522,65 or over,Health care,Heath care administration ,30000,United states,Denver ,8 - 10 years,5-7 years,College degree,Woman,White
5523,35-44,Education (Primary/Secondary),Compliance Auditor,32217,United kingdom,Doncaster,21 - 30 years,11 - 20 years,College degree,Woman,White
5524,25-34,Social Work,Administrative Assistant,26000,United states,El Dorado,5-7 years,1 year or less,College degree,Woman,White
5525,35-44,Computing or Tech,Technical product owner,82845,United kingdom,London,8 - 10 years,2 - 4 years,PhD,Woman,White
5526,25-34,Engineering or Manufacturing,HR Business Partner,72000,United states,La Grande,8 - 10 years,5-7 years,College degree,Woman,White
5527,25-34,Business or Consulting,Program Manager,88000,United states,Los Angeles,8 - 10 years,11 - 20 years,Master's degree,Woman,White
5528,25-34,"Accounting, Banking & Finance","Program analyst, managed money",50000,United states,St Louis ,8 - 10 years,5-7 years,College degree,Woman,White
5529,25-34,Insurance,Admin assistant ,26628,United kingdom,Milton Keynes ,11 - 20 years,2 - 4 years,College degree,Woman,White
5530,35-44,Education (Higher Education),Faculty,66000,United states,seattle,11 - 20 years,11 - 20 years,College degree,Man,White
5531,25-34,"Marketing, Advertising & PR",digital strategist,62500,United states,Washington,5-7 years,2 - 4 years,Some college,Woman,Asian or Asian American
5532,35-44,Engineering or Manufacturing,Mechanical Engineer,115000,United states,Research Triangle,11 - 20 years,11 - 20 years,College degree,Man,White
5533,45-54,Health care,Receptionist / assistant,24900,United states,Augusta IL,11 - 20 years,11 - 20 years,College degree,Woman,White
5534,35-44,Hospitality & Events,Events Manager,65000,United states,Charleston,21 - 30 years,2 - 4 years,College degree,Woman,White
5535,55-64,"Accounting, Banking & Finance",CFO,250000,United states,WFH,31 - 40 years,21 - 30 years,Master's degree,Woman,White
5536,35-44,Media & Digital,"Director of Programming, Senior Editor",173500,United states,New York,21 - 30 years,11 - 20 years,College degree,Woman,White
5537,45-54,"Marketing, Advertising & PR",Senior Marketing Communications Specialist,85000,United states,Oakland,21 - 30 years,8 - 10 years,College degree,Woman,White
5538,25-34,Nonprofits,Executive Assistant ,34320,United states,Los Angeles,5-7 years,2 - 4 years,College degree,Man,White
5539,35-44,Computing or Tech,Principal Recruiter,115500,United states,Colorado Springs,11 - 20 years,11 - 20 years,Master's degree,Woman,White
5540,25-34,Education (Higher Education),Librarian,58500,United states,Poughkeepsie,5-7 years,5-7 years,Master's degree,Woman,White
5541,25-34,Nonprofits,Program Officer,84000,United states,"Washington, DC",11 - 20 years,8 - 10 years,Master's degree,Man,White
5542,25-34,Engineering or Manufacturing,Senior EHS Analyst,85000,United states,Milwaukee area,5-7 years,5-7 years,College degree,Woman,White
5543,25-34,Health care,Patient care coordinator ,45500,United states,Plymouth ,11 - 20 years,8 - 10 years,College degree,Woman,White
5544,25-34,Sales,Administrative Assistant,34320,United states,Clawson,8 - 10 years,5-7 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
5545,45-54,Education (Higher Education),"Human Resources Administrator, Academic Department",86000,United states,Cambridge MA,21 - 30 years,8 - 10 years,Master's degree,Woman,White
5546,25-34,Computing or Tech,Senior project manager ,98200,United states,Washington DC ,8 - 10 years,5-7 years,College degree,Woman,Asian or Asian American
5547,35-44,Art & Design,Graphic Designer,31200,United states,Orlando,11 - 20 years,11 - 20 years,College degree,Woman,White
5548,35-44,Nonprofits,Senior manager of sales ,57000,United states,Portland,11 - 20 years,8 - 10 years,Master's degree,Non-binary,White
5549,25-34,Computing or Tech,internal consultant,133000,United states,Lexington,2 - 4 years,1 year or less,PhD,Woman,White
5550,45-54,Law,Chief Intellectual Property Counsel,202000,United states,Niskayuna,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,White
5551,45-54,"Accounting, Banking & Finance",CEO/President,113500,United states,Auburn,21 - 30 years,21 - 30 years,Master's degree,Woman,White
5552,35-44,Law,Senior Associate Trial Attorney,112000,United states,Atlanta,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
5553,35-44,Nonprofits,Accounting Clerk I,38844,United states,Washington DC,8 - 10 years,5-7 years,Master's degree,Woman,White
5554,35-44,Media & Digital,Executive Assistant,95200,United states,"Washington, DC",11 - 20 years,8 - 10 years,College degree,Woman,White
5555,35-44,Engineering or Manufacturing,Lead Civil Engineer,93500,United states,Boston,11 - 20 years,11 - 20 years,Master's degree,Woman,White
5556,25-34,Nonprofits,Quality Improvement Associate,43000,United states,Chicago,5-7 years,5-7 years,College degree,Woman,White
5557,35-44,Education (Higher Education),Senior Assistant Librarian,69348,United states,San Jose,8 - 10 years,2 - 4 years,Master's degree,Woman,White
5558,35-44,Recruitment or HR,Talent Acquisition Partner,77000,United states,Westchester,11 - 20 years,8 - 10 years,College degree,Woman,White
5559,25-34,Nonprofits,Education Program Coordinator,45000,United states,Lexington,5-7 years,2 - 4 years,College degree,Woman,White
5560,25-34,Health care,Executive Assistant,80000,United states,New York City,5-7 years,5-7 years,Master's degree,Woman,White
5561,35-44,Utilities & Telecommunications,Principal Analyst ,121500,United states,Boston area,21 - 30 years,11 - 20 years,Master's degree,Woman,White
5562,35-44,Government and Public Administration,Housing Programs Specialist,50000,United states,Colorado Springs,21 - 30 years,11 - 20 years,College degree,Woman,White
5563,35-44,Engineering or Manufacturing,Director HR,125000,United states,Hartford,11 - 20 years,11 - 20 years,Master's degree,Woman,White
5564,35-44,Engineering or Manufacturing,Process Engineer,78000,United states,Green Oaks,8 - 10 years,8 - 10 years,College degree,Woman,White
5565,45-54,Health care,MRI Technologist,80000,United states,Gilbert,21 - 30 years,11 - 20 years,College degree,Woman,White
5566,25-34,Nonprofits,Head of Education,38500,United states,Washington DC,2 - 4 years,2 - 4 years,College degree,Woman,White
5567,25-34,Law,Judicial Clerk,80000,United states,Boston,2 - 4 years,1 year or less,"Professional degree (MD, JD, etc.)",Woman,White
5568,45-54,"Marketing, Advertising & PR",Director of content strategy ,111750,United kingdom,Ottawa,21 - 30 years,11 - 20 years,Master's degree,Woman,White
5569,35-44,"Accounting, Banking & Finance",Senior Accountant,62400,United states,Vancouver,11 - 20 years,11 - 20 years,Master's degree,Other or prefer not to answer,White
5570,35-44,State and federal contractor,Communications and Proposal Manager,75000,United states,Denver,11 - 20 years,5-7 years,College degree,Woman,White
5571,35-44,Architecture ,"Architect, Senior Project Manager ",108000,United states,Chicago ,11 - 20 years,11 - 20 years,College degree,Woman,White
5572,45-54,Art & Design,User experience,150000,United states,Manhattan,11 - 20 years,11 - 20 years,College degree,Woman,White
5573,35-44,Business or Consulting,Senior Director of Operations,67000,United states,Murfreesboro,11 - 20 years,8 - 10 years,Master's degree,Woman,White
5574,35-44,Architecture,Administration,48880,United states,Burlington,11 - 20 years,11 - 20 years,College degree,Other or prefer not to answer,Another option not listed here or prefer not to answer
5575,25-34,Engineering or Manufacturing,Buyer,40765,United kingdom,Oxford,8 - 10 years,5-7 years,College degree,Woman,White
5576,25-34,Architecture,Design Staff,55000,United states,Seattle,8 - 10 years,2 - 4 years,Master's degree,Woman,White
5577,25-34,Insurance,Claims adjuster,59700,United states,Saint paul,8 - 10 years,5-7 years,College degree,Woman,White
5578,25-34,Health care,Director of Communications,110000,United states,Seattle,8 - 10 years,2 - 4 years,Master's degree,Woman,White
5579,35-44,Computing or Tech,Principal Business Systems Analyst,123000,United states,Minneapolis,21 - 30 years,11 - 20 years,Master's degree,Woman,White
5580,18-24,Nonprofits,Environmental Organizer,45500,United states,Boulder,2 - 4 years,2 - 4 years,College degree,Woman,White
5581,45-54,Service and repair,Senior Service Technician,51000,United states,Columbia ,21 - 30 years,11 - 20 years,Some college,Woman,White
5582,25-34,Media & Digital,Managing Editor,62000,United states,Trumbull,11 - 20 years,8 - 10 years,College degree,Woman,White
5583,25-34,Computing or Tech,Analyst,68000,United states,Albany,8 - 10 years,2 - 4 years,College degree,Woman,White
5584,35-44,Education (Higher Education),User Engagement Librarian,66681,United states,Hartford,11 - 20 years,11 - 20 years,Master's degree,Woman,White
5585,25-34,Insurance,Communications Manager,80000,United states,Chicago,5-7 years,5-7 years,College degree,Other or prefer not to answer,White
5586,25-34,"Accounting, Banking & Finance",Franchise coordinator,47000,United states,Denver,2 - 4 years,2 - 4 years,College degree,Woman,White
5587,25-34,Law,Office Administrator/Bookkeeper,42000,United states,Tucson,8 - 10 years,2 - 4 years,College degree,Woman,White
5588,45-54,Nonprofits,Programme Officer,79570,Switzerland,Geneva,21 - 30 years,11 - 20 years,Master's degree,Woman,White
5589,35-44,Education (Higher Education),Administrator,88000,United states,Indianapolis,11 - 20 years,5-7 years,College degree,Woman,White
5590,35-44,Business or Consulting,IT consultant,98625,United kingdom,London,11 - 20 years,11 - 20 years,College degree,Woman,White
5591,25-34,"Accounting, Banking & Finance",HR Business Partner,61500,United states,Hillsboro,5-7 years,5-7 years,College degree,Woman,White
5592,35-44,Education (Higher Education),Director of Stewardship,70000,United states,Minneapolis,11 - 20 years,2 - 4 years,Master's degree,Woman,White
5593,25-34,Government and Public Administration,Planner,76500,United states,Walla Walla,5-7 years,5-7 years,Master's degree,Woman,White
5594,35-44,Computing or Tech,Chapter Lead Backend Development,100980,Germany,Remote,11 - 20 years,11 - 20 years,College degree,Woman,White
5595,25-34,Computing or Tech,Software developer,155000,United states,Based on current client project,5-7 years,5-7 years,College degree,Man,White
5596,25-34,Pharma ,Senior scientist ,125000,United states,Waltham,2 - 4 years,2 - 4 years,PhD,Woman,White
5597,25-34,Engineering or Manufacturing,Quality Engineer,69004,United states,St. Paul,2 - 4 years,2 - 4 years,College degree,Woman,White
5598,35-44,Education (Higher Education),Associate Professor & Academic Program Director,65000,United states,Kenosha,8 - 10 years,8 - 10 years,PhD,Woman,White
5599,55-64,Education (Primary/Secondary),Teacher,45000,United states,Wellington,11 - 20 years,11 - 20 years,College degree,Woman,White
5600,25-34,"Marketing, Advertising & PR",Associate Brand Manager,119000,United states,Oakland,8 - 10 years,2 - 4 years,Master's degree,Woman,Black or African American
5601,25-34,Art & Design,graphic designer 1,72500,United states,Portland,5-7 years,2 - 4 years,College degree,Woman,White
5602,18-24,Restaurant/Food Service,Barista,35360,United states,New York City,2 - 4 years,1 year or less,College degree,Woman,White
5603,25-34,Publishing (book),Managing Editor,42196,United kingdom,Toronto,11 - 20 years,8 - 10 years,College degree,Woman,White
5604,25-34,Insurance,Underwriter,40000,United states,Chattanooga,8 - 10 years,5-7 years,Some college,Woman,Black or African American
5605,25-34,Computing or Tech,"Customer Success Manager, Team Lead",119000,United states,New York,5-7 years,5-7 years,Master's degree,Woman,White
5606,35-44,Engineering or Manufacturing,Design Engineer,70000,United states,Portland,11 - 20 years,11 - 20 years,Master's degree,Non-binary,White
5607,18-24,Media & Digital,Sports reporter,42000,United states,Central Ohio,2 - 4 years,2 - 4 years,College degree,Woman,White
5608,25-34,Media & Digital,Senior project editor,43000,United states,Thorofare,8 - 10 years,5-7 years,College degree,Woman,White
5609,35-44,Media & Digital,writer/editor,43500,United states,Brooklyn,8 - 10 years,8 - 10 years,College degree,Woman,White
5610,35-44,Computing or Tech,Senior Product Manager,126600,United states,Raleigh,11 - 20 years,5-7 years,College degree,Woman,White
5611,45-54,Nonprofits,Development Officer,81120,United states,Saint Paul,21 - 30 years,21 - 30 years,College degree,Woman,White
5612,25-34,Recruitment or HR,Benefit Administrator ,66000,United states,Houston,5-7 years,5-7 years,Some college,Woman,White
5613,45-54,Health care,Associate Professor,147000,United states,Saint Louis,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Woman,Black or African American
5614,25-34,Government and Public Administration,Town Clerk,38480,United states,Prefer not to answer,5-7 years,5-7 years,College degree,Woman,White
5615,35-44,Libraries,Head of Teen Services,74000,United states,Hackensack,11 - 20 years,11 - 20 years,Master's degree,Woman,White
5616,55-64,Computing or Tech,Scrum Master,110000,United states,Pittsburgh,31 - 40 years,11 - 20 years,Master's degree,Woman,White
5617,25-34,Nuclear research,Unit manager,122000,United states,West Mifflin,8 - 10 years,8 - 10 years,College degree,Man,White
5618,25-34,Engineering or Manufacturing,System Architect,120700,United states,Pittsfield,8 - 10 years,8 - 10 years,College degree,Woman,White
5619,25-34,Media & Digital,Content Strategist,88000,United states,San Francisco,8 - 10 years,5-7 years,College degree,Woman,"Asian or Asian American, White"
5620,35-44,Computing or Tech,Technical Account Manager,100000,United states,"Burlington, MA",21 - 30 years,11 - 20 years,College degree,Woman,"Asian or Asian American, White"
5621,35-44,Computing or Tech,Cybersecurity Engineer,138000,United states,Arlington,11 - 20 years,8 - 10 years,Master's degree,Woman,White
5622,35-44,"Accounting, Banking & Finance",Marketing Director,78600,United states,Des Moines,11 - 20 years,11 - 20 years,College degree,Woman,White
5623,25-34,Nonprofits,Senior Research Economist,82450,United kingdom,London,5-7 years,5-7 years,Master's degree,Woman,White
5624,25-34,Education (Higher Education),Assistant Professor of Chemistry and Biochemistry,70000,United states,Oxford,2 - 4 years,2 - 4 years,PhD,Woman,White
5625,25-34,Computing or Tech,"Software Engineer, Test II",100000,United states,NYC,5-7 years,5-7 years,College degree,Woman,White
5626,35-44,Education (Higher Education),Assistant Director,49500,United states,Cincinnati,21 - 30 years,11 - 20 years,Master's degree,Woman,White
5627,35-44,Computing or Tech,Team Lead - Technical Writing,73000,United states,Akron,21 - 30 years,2 - 4 years,College degree,Woman,White
5628,25-34,Law,Govt Counsel,78000,United states,Columbus ,8 - 10 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
5629,35-44,Entertainment,Principal Program Manager,217000,United states,Seattle,11 - 20 years,11 - 20 years,College degree,Woman,White
5630,55-64,Nonprofits,Program Manager,40500,United states,Peterborough,31 - 40 years,31 - 40 years,Some college,Woman,White
5631,25-34,Education (Higher Education),Senior Business Systems Analyst,101895,United states,Chicago,5-7 years,5-7 years,Master's degree,Non-binary,White
5632,25-34,Computing or Tech,Support advisor,31662,United kingdom,"Victoria, B.C., Canada",2 - 4 years,2 - 4 years,College degree,Woman,White
5633,45-54,Computing or Tech,Internal Security and Compliance audit,180000,United states,Austin,21 - 30 years,11 - 20 years,College degree,Woman,White
5634,25-34,Nonprofits,Business Intelligence Associate,47500,United states,Tucson,5-7 years,2 - 4 years,College degree,Woman,White
5635,35-44,"Accounting, Banking & Finance",Legal Counsel,112200,Belgium,Brussels,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Man,White
5636,25-34,Education (Higher Education),Outreach Specialist,50000,United states,Las Vegas,8 - 10 years,8 - 10 years,Master's degree,Woman,White
5637,45-54,Education (Primary/Secondary),hobby teacher,13531,Latvia,village near Riga,11 - 20 years,8 - 10 years,Master's degree,Woman,White
5638,35-44,"Marketing, Advertising & PR",Senior Content Manager,91500,United states,Berkeley,11 - 20 years,8 - 10 years,College degree,Woman,White
5639,35-44,Engineering or Manufacturing,engineer,115000,United states,Huntsville,11 - 20 years,11 - 20 years,College degree,Woman,White
5640,55-64,Education (Primary/Secondary),Administrative Assistant,75000,United states,Cambridge,31 - 40 years,11 - 20 years,College degree,Woman,White
5641,35-44,Education (Higher Education),Archivist,62580,United kingdom,The Pas Manitoba,11 - 20 years,11 - 20 years,Master's degree,Woman,White
5642,45-54,Law,attorney,400000,United states,Seattle,21 - 30 years,21 - 30 years,"Professional degree (MD, JD, etc.)",Woman,White
5643,25-34,Computing or Tech,Software Engineer,75000,United states,San Diego,5-7 years,5-7 years,College degree,Woman,White
5644,25-34,Education (Higher Education),Resident Director,35000,United states,Binghamton,5-7 years,5-7 years,College degree,Woman,White
5645,35-44,Nonprofits,Chief Program Officer ,115000,United states,New York ,11 - 20 years,11 - 20 years,Master's degree,Woman,White
5646,35-44,"Accounting, Banking & Finance",Controllers ,83200,United states,Columbus ,21 - 30 years,11 - 20 years,College degree,Woman,White
5647,35-44,"Marketing, Advertising & PR",Communications manager,79000,United states,Chicago,11 - 20 years,11 - 20 years,Master's degree,Man,White
5648,25-34,Nonprofits,Development Specialist,57000,United states,"Washington, DC",2 - 4 years,2 - 4 years,College degree,Woman,White
5649,25-34,Education (Higher Education),Ceramics Teaching Assistant,35360,United states,Chicago,11 - 20 years,5-7 years,College degree,Woman,Black or African American
5650,35-44,Government and Public Administration,Adjudication Specialist,69500,United states,Henrico County,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Woman,White
5651,45-54,Scientific R&D,Senior Administrator,55500,United states,Oak Ridge,11 - 20 years,11 - 20 years,Master's degree,Woman,White
5652,45-54,Government and Public Administration,Library director,50490,Finland,Uusimaa,11 - 20 years,11 - 20 years,Master's degree,Woman,Another option not listed here or prefer not to answer
5653,35-44,"Accounting, Banking & Finance",Project Manager,104000,United states,Minneapolis,11 - 20 years,8 - 10 years,College degree,Woman,White
5654,18-24,Health care,"Registered Nurse, Clinic",62000,United states,Boston,1 year or less,1 year or less,College degree,Woman,White
5655,35-44,Education (Higher Education),Senior Grants Specialist,105000,United states,New York,11 - 20 years,8 - 10 years,Master's degree,Woman,White
5656,45-54,Media & Digital,Senior Editor,75000,United states,Indianapolis,21 - 30 years,11 - 20 years,Master's degree,Woman,White
5657,25-34,Health care,Attending Physician (general internal medicine),1900000,United states,New Haven,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Woman,White
5658,35-44,Government and Public Administration,Records management team supervisor,119600,United states,Ft Meade,11 - 20 years,11 - 20 years,Master's degree,Woman,White
5659,35-44,Education (Higher Education),Librarian,79626,United states,New Haven,11 - 20 years,11 - 20 years,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, White"
5660,35-44,"Accounting, Banking & Finance",Customer service rep,43000,United states,Madison,5-7 years,5-7 years,Some college,Man,White
5661,25-34,Education (Primary/Secondary),Teacher,63000,United states,Washington,8 - 10 years,8 - 10 years,Master's degree,Woman,White
5662,25-34,Transport or Logistics,Senior Marketing Strategy Analyst,104000,United states,Atlanta,5-7 years,1 year or less,Master's degree,Woman,"Black or African American, Hispanic, Latino, or Spanish origin"
5663,25-34,Education (Higher Education),Operations Manager,48195,United states,Chicago,8 - 10 years,5-7 years,Master's degree,Woman,White
5664,25-34,Property or Construction,Executive Assistant,61805,United kingdom,London,8 - 10 years,8 - 10 years,High School,Woman,White
5665,25-34,Computing or Tech,Senior Software Engineer,152000,United states,Washington DC metro area,5-7 years,5-7 years,College degree,Woman,"White, Another option not listed here or prefer not to answer"
5666,35-44,Nonprofits,"Manager, Governance and Volunteers",58855,United kingdom,"Ottawa, Ontario",11 - 20 years,11 - 20 years,Master's degree,Woman,White
5667,25-34,Computing or Tech,Chief engineering,56100,France,Paris,2 - 4 years,2 - 4 years,PhD,Woman,White
5668,35-44,"Accounting, Banking & Finance",Senior financial analyst ,74000,United states,Omaha,11 - 20 years,2 - 4 years,Master's degree,Woman,White
5669,25-34,Defense,research scientist,86953,United states,Dayton,2 - 4 years,2 - 4 years,PhD,Woman,White
5670,35-44,Health care,Supervisor,68000,United states,Des Moines,11 - 20 years,11 - 20 years,College degree,Woman,White
5671,35-44,Art & Design,Project Architect,85000,United states,Denver,11 - 20 years,11 - 20 years,Master's degree,Woman,White
